canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,min_support_actual_pct,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,composite_score_step1,support_score,diversity_score,stage_b_score,stage_b_rejection_reason,top10_mean_ret,top10_net_ret,rule_type_class,production_classification,classification_diagnostics,rule_gain_score,rule_split_score,rule_model_importance_score,preset,is_too_narrow,is_too_broad,comp_bonus,pruner_rank_score,within_leaf_mean_ic,within_leaf_positive_ic_fraction,within_leaf_mean_top_quantile_spread,within_leaf_mean_edge_uplift,within_leaf_hit_lift,within_leaf_valid_folds,within_leaf_future_edge_learnability_score,learnability_definition,leaf_reconstructability_score,stage_c_rejection_reason
(*)|(dist_rolling_7d_high>0.21782057)|(range_24h_pct>0.074135661),*,dist_rolling_7d_high>0.21782057,range_24h_pct>0.074135661,0.0024397764645982534,0.0024397764645982534,0.002111700955007363,0.042754718102514744,0.06948333333333333,0.014362944219994267,1.0,1.0,0.5665294924554184,696,,,0.029391058821427944,0.0052692191777115715,0.028045861976878327,0.0521677016205947,,0.75,0.09653405748233204,4.682760092662187,1.0,0.15555838774889708,0.10410700334154557,2.5378577560186386,0.4528618732477038,0.8469558625602496,,,,,,,,0.5117643499126084,0.5117643499126084,8.761978523611112e-05,0.0023521566793621423,4,1,1,2,2,stage_a_context,,long,2-way,False,b_sign_consistency_too_low,production,0.0464,0.09653405748233204,0.10410700334154557,-0.26432502269744873,0.5117333333333332,primary_target,0,,0.3891066666666666,,0.45024051728352116,b_sign_consistency_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0024397764645982534, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 696, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.9760293027890604,production,False,False,0.15,0.9760293027890604,0.050111654342699735,1.0,0.006362056738592018,0.0036332529540505512,0.026012110529552573,4,0.8469558625602496,within_leaf_future_edge,0.5468265217401809,c_trade_path_quality_too_low|c_quality_stability_too_low
(*)|(dist_rolling_7d_high>0.22512846)|(range_24h_pct>0.075587392),*,dist_rolling_7d_high>0.22512846,range_24h_pct>0.075587392,0.002796812892484013,0.002796812892484013,0.0021281788727562146,0.04394189268350601,0.06358333333333334,0.01358981440475018,1.0,1.0,0.5497953615279673,632,,,0.030281087183975187,0.009723579967476827,0.03040951706019497,0.050967024276693335,,0.75,0.1020747772179313,5.743452397937282,1.0,0.1557861976325512,0.10964772307714482,2.7071617543697357,0.49117896304012354,0.8528531836432471,,,,,,,,0.5063838408763094,0.5063838408763094,8.820620590277778e-05,0.002708606686581235,4,1,1,2,2,stage_a_context,,long,2-way,False,b_sign_consistency_too_low,production,0.042133333333333335,0.1020747772179313,0.10964772307714482,-0.27602672576904297,0.4173333333333334,primary_target,0,,0.3560666666666667,,0.46127886801732476,b_sign_consistency_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.002796812892484013, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 632, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.7221951729531523,production,False,False,0.15,0.7221951729531523,0.04916431939015909,1.0,0.006527576093012899,0.0037057572724001663,0.03136108399301228,4,0.8528531836432471,within_leaf_future_edge,0.5551597738847702,c_trade_path_quality_too_low|c_quality_stability_too_low
(*)|(dist_rolling_7d_high>0.24724466)|(range_24h_pct>0.071724296),*,dist_rolling_7d_high>0.24724466,range_24h_pct>0.071724296,0.0026008982567873318,0.0026008982567873318,0.0023903393342486843,0.044707619585096836,0.057583333333333334,0.013187652052835888,1.0,1.0,0.6138482023968043,551,,,0.02516504257242891,0.0025430501859199043,0.023102399625429468,0.04572439201193847,,0.75,0.11087374135305278,9.407039545045977,1.0,0.16887900047004223,0.11844668721226631,3.528904005885124,0.4224664851788067,0.9026646366320014,,,,,,,,0.5028391756860209,0.5028391756860209,8.886325590277777e-05,0.002512035000884554,4,1,1,2,2,stage_a_context,,long,2-way,True,,production,0.03673333333333333,0.11087374135305278,0.11844668721226631,-0.27481746673583984,0.3213333333333333,primary_target,0,,0.3224666666666666,,0.4496666391651044,,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0026008982567873318, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 551, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: "", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,1.0000715740960253,production,False,False,0.15,1.0000715740960253,0.057093520683910846,1.0,0.007448798315801032,0.004421626533539474,0.044524733140172176,4,0.9026646366320014,within_leaf_future_edge,0.5590330727264513,c_trade_path_quality_too_low|c_quality_stability_too_low
(*)|(dist_rolling_7d_high>0.23190662)|(range_24h_pct>0.069968343),*,dist_rolling_7d_high>0.23190662,range_24h_pct>0.069968343,0.002329168106371071,0.002329168106371071,0.0018284717868548971,0.04337921924889088,0.06676666666666667,0.0151594854793954,1.0,1.0,0.5888888888888889,634,,,0.024532095640583614,0.0028709112261012856,0.02625824069337887,0.0479194251078612,,0.75,0.09620310360821835,5.2109277107683685,1.0,0.12906058691442013,0.10377604946743188,2.384914353489876,0.3983699506482499,0.7881460528077218,,,,,,,,0.500963371465462,0.500963371465462,8.788245294444445e-05,0.0022412856534266266,4,1,1,2,2,stage_a_context,,long,2-way,False,b_sign_consistency_too_low,production,0.04226666666666667,0.09620310360821835,0.10377604946743188,-0.26414310932159424,0.46826666666666666,primary_target,0,,0.3738933333333333,,0.43650405875008697,b_sign_consistency_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.002329168106371071, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 634, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.8172965575449905,production,False,False,0.15,0.8172965575449905,0.0430882274119504,0.75,0.005130672974723873,0.0035024388499106775,0.028754281814543092,4,0.7881460528077218,within_leaf_future_edge,0.5221835807978337,c_trade_path_quality_too_low|c_quality_stability_too_low
(*)|(dist_weekly_vwap<=-0.072532386)|(rolling_range_20>-0.1067524),*,dist_weekly_vwap<=-0.072532386,rolling_range_20>-0.1067524,0.0021677959302905947,0.0021677959302905947,0.0009053773499143887,0.030059175100177526,0.05876666666666667,0.017514977717497802,1.0,1.0,0.5040983606557377,488,,,0.04112248375411123,0.0342730698546705,0.04212759999984615,0.04897701389928689,,1.0,0.08212439590996769,4.199554813081419,1.0,0.14161607902497053,0.08969734176918123,2.3139698803424835,0.17057100487399815,0.9073745822090985,,,,,,,,0.45506774370648095,0.45506774370648095,8.872882627777779e-05,0.002079067104012817,4,1,1,2,2,stage_a_context,,long,2-way,False,b_sign_consistency_too_low,production,0.03253333333333333,0.08212439590996769,0.08969734176918123,-0.11998593807220459,0.34026666666666666,primary_target,0,,0.3290933333333333,,0.44477188579579324,b_sign_consistency_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0021677959302905947, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 488, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,1.000064395538766,production,False,False,0.15,1.000064395538766,0.0867865121152696,1.0,0.00560796161464598,0.003192861326269598,0.04998416482078036,4,0.9073745822090985,within_leaf_future_edge,0.4843160325346783,c_trade_path_quality_too_low|c_quality_stability_too_low
(*)|(dist_weekly_vwap<=-0.043798238)|(prior_volatility>0.2236346),*,dist_weekly_vwap<=-0.043798238,prior_volatility>0.2236346,0.001848936066380702,0.001848936066380702,0.0017573112482909654,0.030131261330097914,0.07108333333333333,0.024371813181989103,1.0,1.0,0.5035063113604488,462,,,0.03820033824684052,0.03020085924729035,0.04426550870598575,0.05226498770553592,,1.0,0.08318382770182424,1.4035817921541485,0.75,0.17104658856987953,0.09075677356103777,0.4204697832465172,0.16699461718605185,0.8800171117141593,,,,,,,,0.4496198620880686,0.4496198620880686,8.747095590277778e-05,0.0017614651104779242,4,1,1,2,2,stage_a_context,,long,2-way,False,b_sign_consistency_too_low,production,0.0308,0.08318382770182424,0.09075677356103777,-0.07561969757080078,0.5373333333333332,primary_target,0,,0.3980666666666666,,0.4289815445967005,b_sign_consistency_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.001848936066380702, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 462, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.9944098405209344,production,False,False,0.15,0.9944098405209344,0.12335333483954797,0.75,0.009418867093810384,0.0046087934053765135,0.0476692742098699,4,0.8800171117141593,within_leaf_future_edge,0.43224464944993646,c_trade_path_quality_too_low|c_quality_stability_too_low
(*)|(bars_in_high_vol_state_log_norm>1.68249)|(atr_percentile<=0.36644411),*,bars_in_high_vol_state_log_norm>1.68249,atr_percentile<=0.36644411,0.0033404412388335913,0.0033404412388335913,0.0027084811256437515,0.03867682395502925,0.059366666666666665,0.03419020327520736,1.0,1.0,0.5278592375366569,296,,,0.016794366588553846,0.006164613604948093,0.015135431597805784,0.025765184581411537,,0.75,0.04678144040927823,0.5968637484490629,0.75,0.14744900073856115,0.05435438626849175,0.3022514823824167,0.2429186556096539,0.7445253579096243,,,,,,,,0.43773315749617575,0.43773315749617575,8.866157427777778e-05,0.0032517796645558134,4,1,1,2,2,stage_a_context,,long,2-way,False,b_min_fold_support_too_low|b_sign_consistency_too_low,production,0.019733333333333332,0.04678144040927823,0.05435438626849175,-0.16402816772460938,0.3498666666666666,primary_target,0,,0.3324533333333333,,0.44685481607923316,b_min_fold_support_too_low|b_sign_consistency_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0033404412388335913, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 296, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_min_fold_support_too_low|b_sign_consistency_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.23973752279948748,production,False,False,0.15,0.23973752279948748,0.06824908671700645,0.75,0.004336416541296039,0.0009916042805539111,0.031147111921093304,4,0.7445253579096243,within_leaf_future_edge,0.38286475634838557,c_trade_path_quality_too_low|c_quality_stability_too_low
(*)|(dist_rolling_7d_high>0.25267488&dist_weekly_vwap<=-0.083888762)|(*),*,dist_rolling_7d_high>0.25267488&dist_weekly_vwap<=-0.083888762,*,0.0026853600866161287,0.0026853600866161287,0.0019523088131937552,0.030990736559033394,0.06273333333333334,0.019456332873614417,1.0,1.0,0.5090152565880721,538,,,0.03802157179546495,0.02691919711707987,0.03875334225488396,0.04985571693326903,,1.0,0.052104878970815574,0.8111257248885977,0.75,0.09408361464738846,0.059677824830029105,-0.665460929274559,0.36054365787754067,0.7667172824687444,,,,,,,,0.4356922766174119,0.4356922766174119,8.829556711111112e-05,0.0025970645195050176,4,1,1,2,2,stage_a_context,,long,2-way,False,b_sign_consistency_too_low,production,0.035866666666666665,0.052104878970815574,0.059677824830029105,-0.16257882118225098,0.40373333333333333,primary_target,0,,0.35130666666666666,,0.4641898753345283,b_sign_consistency_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0026853600866161287, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 538, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_sign_consistency_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.7825785271973619,production,False,False,0.15,0.7825785271973619,0.052389312203655926,1.0,0.0035051478018086352,0.0013627378613067479,0.024401342987773147,4,0.7667172824687444,within_leaf_future_edge,0.38425929103126283,c_trade_path_quality_too_low|c_quality_stability_too_low
(*)|(dist_weekly_vwap<=-0.069069922)|(realized_volatility_24h>0.14666812),*,dist_weekly_vwap<=-0.069069922,realized_volatility_24h>0.14666812,0.0034990470740012825,0.0034990470740012825,0.0015916978825602074,0.029741736128926277,0.05115,0.019429952536111753,1.0,1.0,0.5284552845528455,310,,,0.047728306539832205,0.029995641982930428,0.04143289846620935,0.05916556302311113,,1.0,0.051459711418722555,0.9135903129792018,0.75,0.12377420719712973,0.05903265727793609,0.33688155096024275,0.32393145783322086,0.8519433685486143,,,,,,,,0.4282112159069015,0.4282112159069015,8.9635749125e-05,0.0034094113248762823,4,1,1,2,2,stage_a_context,,long,2-way,False,b_min_fold_support_too_low|b_sign_consistency_too_low,production,0.020666666666666667,0.051459711418722555,0.05903265727793609,-0.07678496837615967,0.21839999999999998,primary_target,0,,0.28644,,0.5080711517422966,b_min_fold_support_too_low|b_sign_consistency_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0034990470740012825, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 310, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_min_fold_support_too_low|b_sign_consistency_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.7500093623779569,production,False,False,0.15,0.7500093623779569,0.08920660590502424,1.0,0.006427703479516454,0.0023816903456882563,0.02438798842767556,4,0.8519433685486143,within_leaf_future_edge,0.4084030494976501,c_trade_path_quality_too_low|c_quality_stability_too_low
(*)|(dist_weekly_vwap<=-0.076264307)|(prior_volatility>0.0076737665),*,dist_weekly_vwap<=-0.076264307,prior_volatility>0.0076737665,0.002619983053591568,0.002619983053591568,0.0015462049751895008,0.031089540105313063,0.051133333333333336,0.01619032632983865,1.0,1.0,0.5202156334231806,352,,,0.04643769954315925,0.0434814761452631,0.056329487616658507,0.059285711014554654,,1.0,0.06346844423902379,1.416655616607241,0.75,0.10618473496288061,0.07104139009823732,0.736500546336174,0.20546613351747606,0.9186673061513321,,,,,,,,0.4171933210271534,0.4171933210271534,8.963784177777778e-05,0.0025303452118137903,4,1,1,2,2,stage_a_context,,long,2-way,False,b_min_fold_support_too_low|b_sign_consistency_too_low,production,0.023466666666666667,0.06346844423902379,0.07104139009823732,-0.11666333675384521,0.21813333333333335,primary_target,0,,0.28634666666666664,,0.47379558721386433,b_min_fold_support_too_low|b_sign_consistency_too_low,,,ranking,rejected,"{""checks"": {""n_folds"": {""value"": 4, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 4, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.002619983053591568, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 352, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": -Infinity, ""threshold"": 0.0, ""passed"": false}}, ""failures"": [""rule_rejected: b_min_fold_support_too_low|b_sign_consistency_too_low"", ""trade_path_quality_score=-inf < 0.000000""], ""warnings"": [], ""classification"": ""rejected""}",0.0,0.0,0.7809465694666994,production,False,False,0.15,0.7809465694666994,0.09218045756569918,1.0,0.007463136227751744,0.00399420072454279,0.0507930929855418,4,0.9186673061513321,within_leaf_future_edge,0.4017693184356709,c_trade_path_quality_too_low|c_quality_stability_too_low
