side,source_horizon,canonical_key,rejected,reason
long,0,(*)|(dist_rolling_7d_high>0.21921894)|(prior_volatility>0.067109697&range_24h_pct>0.062888861),False,
long,0,(*)|(dist_rolling_7d_high>0.23620659)|(rolling_range_20>-0.010023702),False,
long,0,(*)|(dist_rolling_7d_high>0.22512846)|(range_24h_pct>0.077649929),False,
long,0,(*)|(dist_prior_day_high>0.078000061&dist_rolling_7d_high>0.22846238)|(*),False,
long,0,(*)|(dist_weekly_vwap<=-0.057300895)|(realized_volatility_24h>0.20427527),False,
long,0,(*)|(dist_weekly_vwap<=-0.069064148)|(range_24h_pct>0.056503907&realized_volatility_24h>-0.47739747),False,
long,0,(*)|(bars_in_high_vol_state_log_norm>1.6008443)|(spectral_entropy_ret_24>0.015250965),False,
long,0,(*)|(zscore_price_50<=0.34207869)|(choppiness_index_20<=1.0560515&prior_volatility>0.48053756&range_24h_pct>0.033534616&return_autocorr_48<=0.40249896),False,
long,0,(*)|(dist_weekly_vwap<=-0.098474912)|(range_24h_pct>0.03485918),False,
long,0,(*)|(dist_weekly_vwap<=-0.099334382)|(range_24h_pct>0.027781665&realized_volatility_24h>-1.3426182),True,top_n_cutoff
long,0,(*)|(dist_weekly_vwap<=-0.10288422)|(range_24h_pct>0.040728092),True,top_n_cutoff
long,0,(*)|(dist_weekly_vwap<=-0.061544839)|(prior_volatility>0.21440034),False,
long,0,(*)|(*)|(prior_volatility>-0.42818528&range_24h_pct>0.061133102&return_autocorr_48<=0.11990046&up_down_semivol_ratio_tanh<=0.084156752),False,
long,0,(*)|(bars_in_high_vol_state_log_norm>-0.54685247&dist_rolling_7d_high>0.018985568&loc_prior_bar_pos_48<=0.14286214)|(prior_range>0.87563896),False,
long,0,(*)|(bars_in_high_vol_state_log_norm>1.7323869&loc_vwap_dev_z_24<=1.4735404)|(prior_range<=1.5393111),False,
long,0,(*)|(loc_initial_balance_pos_24>0.25000009)|(up_down_semivol_ratio_tanh<=-0.12850937&volume_zscore_48h>0.42067331),False,
long,0,(*)|(dist_weekly_vwap>0.0063185436)|(direction_entropy_20<=-0.38984615),False,
long,0,(*)|(pullback_depth<=0.24241057&zscore_price_200>-1.8323787)|(direction_entropy_20<=-0.54094625&range_24h_pct>0.02969718),True,top_n_cutoff
long,0,(*)|(dist_prior_day_low>0.038702786)|(direction_entropy_20<=-0.59094745),False,
long,0,(*)|(dist_prior_day_low>0.008508482&loc_prev_day_range_pos_48>0.46985668)|(direction_entropy_20<=-0.2536743),False,
