canonical_key,source_tree,source_leaf,source_target,source_horizon,side,count,support_pct,mean_net_ret,shrunk_mean_net_ret,mean_uplift,shrunk_mean_uplift,tstat_net_ret,presence_freq,sign_consistency,support_score,diversity_score,cheap_score,rejection_reason,mean_baseline_ret,std_support_pct,unique_symbol_count,unique_day_count,max_single_symbol_share,max_single_day_share,discovery_count,accepted
(*)|(loc_prev_week_range_pos_48>0.27717587&loc_prior_bar_pos_48>-0.44444928&loc_vwap_dev_z_24<=-0.18977006)|(range_24h_pct>0.039364934),144,5,returns_target,5,short,4295,0.1061962219365048,0.0032213246863990225,0.0030441341095893953,0.003271939365630014,0.0030919647030541054,7.567912204025151,1.0,1.0,0.8946988428444269,0.980093131548312,0.8425170444166161,,4.024392336727537e-05,0.019153653558669926,107,127,0.025611175785797437,0.039813736903376015,1,True
(*)|(dist_rolling_7d_high>0.018985568&pullback_depth>0.12426572)|(direction_entropy_20<=-0.063926786&prior_volatility<=0.20896727),95,5,returns_target,5,short,4579,0.11321827712392443,0.002345246801628351,0.002223832077998803,0.0024379232785105773,0.002311710642431131,7.079330968106193,1.0,1.0,0.9340223518939768,0.9810002183882944,0.8037770603486984,,4.024392336727537e-05,0.030442311092607654,108,126,0.02402271238261629,0.03799956322341123,1,True
(*)|(loc_prior_bar_pos_24>-0.44444928&loc_prior_bar_pos_48>0.045455325)|(dist_ema_fast<=-0.00035131763),115,5,returns_target,5,short,4545,0.11237760854514885,0.0021667543024119764,0.0020537848393039483,0.002271846767945465,0.002153398031347683,5.570701280374301,1.0,1.0,0.9293146078528336,0.9862486248624862,0.7995846172672011,,4.024392336727537e-05,0.010571729920382321,109,128,0.0231023102310231,0.027502750275027504,1,True
(*)|(dist_weekly_vwap>-0.10529004&loc_vwap_dev_z_48<=-0.71595389)|(range_24h_pct>0.057136893),16,3,returns_target,5,short,4750,0.11744634556423697,0.0021129041094529,0.0020072589039802553,0.002112338404666732,0.0020067214844333952,5.246280404058098,1.0,1.0,0.9576995351597271,0.9778947368421053,0.7994243165483803,,4.024392336727537e-05,0.020947682992875118,107,127,0.026526315789473683,0.04421052631578947,1,True
(*)|(dist_ema200_atr<=0.0089232465&dist_rolling_7d_high<=0.23525071)|(choppiness_index_20<=0.47399187&rolling_range_20>0.17052647),143,4,returns_target,5,short,4265,0.10545445554346751,0.002318729982566163,0.0021903396180829866,0.0023508334250296158,0.0022206654612959716,6.193638914847575,1.0,1.0,0.890544951043418,0.9683470105509965,0.7936504803813909,,4.024392336727537e-05,0.012147086916112226,104,123,0.05439624853458382,0.06330597889800703,1,True
(*)|(*)|(compression_score>1.3342273),193,1,returns_target,5,short,4866,0.12031450895064781,0.0019784369955717462,0.0018817580962572553,0.0018260549816423097,0.0017368224278091243,4.098009408209999,1.0,0.75,0.9737612501236277,0.9762638717632552,0.7894728556553123,,4.024392336727537e-05,0.00819864868101841,110,128,0.02692149609535553,0.047472256473489516,1,True
(*)|(bars_in_high_vol_state_log_norm<=0.49893659&loc_prior_bar_pos_24>-0.44642374&loc_swing_range_pos_24<=0.44000217)|(rv_24h>-0.50241101),129,8,returns_target,5,short,4776,0.11808920977153595,0.0023119099176109738,0.0021969124087763653,0.002392905297000487,0.0022738789690557753,6.775991516240154,1.0,0.75,0.9612995747206012,0.9841917922948074,0.7875608038231919,,4.024392336727537e-05,0.02531342372038227,110,128,0.027847571189279732,0.03161641541038526,1,True
(*)|(dist_prior_day_high<=0.060438458&loc_bb_channel_pos_48>0.68881243)|(direction_entropy_20>0.23143029&realized_volatility_24h>-0.88083863),54,6,returns_target,5,short,4155,0.10273464543566413,0.0024575720338327932,0.0023180957549546553,0.0023720807646549417,0.0022374564306790654,5.3461905597058355,1.0,0.75,0.8753140144397191,0.9725631768953069,0.7817263824478113,,4.024392336727537e-05,0.024348156744820708,109,124,0.030806257521058963,0.054873646209386284,1,True
(*)|(loc_session_pos_24<=0.49074045)|(choppiness_index_20<=0.59919357&realized_volatility_24h>-0.68160146&spectral_entropy_ret_24<=0.095144004),79,7,returns_target,5,short,4724,0.116803481356938,0.0022176780582584634,0.0021062145450769965,0.0022792021136658932,0.0021646463178443265,5.279279320469339,1.0,0.75,0.9540994955988527,0.9847586790855207,0.7800006740591438,,4.024392336727537e-05,0.028258011667637032,109,128,0.0279424216765453,0.03048264182895851,1,True
(*)|(dist_prior_day_high>0.050517477&dist_rolling_7d_high<=0.29724854)|(atr_compression_ratio<=1.5825199&choppiness_index_20<=-0.1505938&range_24h_pct>0.054577589),114,5,returns_target,5,short,4206,0.10399564830382751,0.00218925118106238,0.0020664251498088804,0.0021329237720544535,0.0020132579410370357,5.195238525308514,1.0,1.0,0.8823756305014341,0.9763433190679981,0.7758445063825957,,4.024392336727537e-05,0.009294661407914306,105,125,0.03209700427960057,0.047313361864003804,1,True
(*)|(dist_vwap_atr<=0.0017973713&loc_prior_bar_pos_48>-0.48448932&zscore_price_200>-1.8014519&zscore_price_50>-0.49549559)|(choppiness_index_20<=0.92856348),43,9,returns_target,5,short,4971,0.12291069132627831,0.0019447619683352593,0.0018516398668060859,0.002010205105452202,0.0019139493543771108,4.600282458023752,1.0,1.0,0.9882998714271585,0.9831019915509958,0.7752279700859376,,4.024392336727537e-05,0.010395465255646786,110,128,0.029370348018507342,0.03379601689800845,1,True
(*)|(loc_prior_bar_pos_48>0.085365526&loc_swing_range_pos_48<=1.3272713)|(up_down_return_mass_ratio_tanh<=-0.6760233),135,1,returns_target,5,short,2883,0.07128375037088319,0.003238492734805189,0.0029800748657655154,0.00326733769348032,0.0030066181201097233,6.966166590037932,1.0,1.0,0.39918900207694585,0.9852584113770378,0.774326771997005,,4.024392336727537e-05,0.006097513484478175,109,126,0.02462712452306625,0.029483177245924384,1,True
(*)|(dist_ema50_atr<=0.0035826629)|(compression_ratio<=0.13398969&prior_volatility<=0.24749434&range_24h_pct>0.048894159),9,1,returns_target,5,short,5018,0.12407279200870339,0.0018204440867202413,0.0017340524728857575,0.0017568936758182337,0.0016735179319012712,4.93484769119134,1.0,1.0,0.9948076352487389,0.9747907532881626,0.7734729902364953,,4.024392336727537e-05,0.009410594251922534,106,124,0.03706656038262256,0.05041849342367477,1,True
(*)|(loc_range_pos_48<=0.26065394)|(range_24h_pct<=0.074285388&volume_autocorr_48>-0.33484519),113,2,returns_target,5,short,4362,0.1078528335476214,0.0018780075700279772,0.0017762075066049515,0.001955611755759078,0.0018496050474026667,6.1566275451084165,1.0,1.0,0.9039758678666798,0.9817744154057771,0.7726166893463999,,4.024392336727537e-05,0.0139012674178436,110,126,0.031178358551123338,0.03645116918844567,1,True
(*)|(dist_prior_day_low>0.013023912&distance_to_ema<=-0.068649247)|(compression_ratio>-0.4569571&ema_slope_norm<=0.38286865&realized_volatility_24h<=0.54864085),177,3,returns_target,5,short,4688,0.11591336168529325,0.001990628552721629,0.001889847439278857,0.0018864894227338786,0.0017909806427250754,5.0794610211260265,1.0,1.0,0.949114825437642,0.9761092150170648,0.7718490253352233,,4.024392336727537e-05,0.02033870738660648,107,127,0.03135665529010239,0.04778156996587031,1,True
(*)|(*)|(amihud_z>-0.35655224&ema20_slope_5h<=-1.154671&prior_range<=0.99560332),38,2,returns_target,5,short,4308,0.10651765404015429,0.0018915373109066609,0.001787789103858248,0.0018015473832435798,0.0017027349993447437,5.273278914582714,1.0,1.0,0.896498862624864,0.9722609099350047,0.7715570652420427,,4.024392336727537e-05,0.012237809149612054,110,119,0.025301764159702877,0.055478180129990715,1,True
(*)|(loc_prior_bar_pos_24>-0.30000213&loc_vwap_dev_z_48<=0.045882143)|(choppiness_index_20<=-0.38207451),163,4,returns_target,5,short,3156,0.0780338245475225,0.0033632315157030926,0.003116370717427763,0.0034363720792530772,0.0031841427722027926,6.631421289956078,1.0,0.75,0.43698941746612596,0.9820975918884665,0.7665676832312077,,4.024392336727537e-05,0.00901630845400978,109,125,0.024714828897338403,0.03580481622306717,1,True
(*)|(dist_ema50_atr>-0.0036528888&dist_prior_day_low>0.038261749)|(direction_entropy_20>0.047920574&prior_range>-0.32375628),8,7,returns_target,5,short,4689,0.11593808723172783,0.0020521256709612364,0.0019482521302160837,0.002077062709871935,0.0019719269177140113,3.481929053234952,1.0,0.75,0.9492532884976759,0.9727020686713586,0.7658816973521119,,4.024392336727537e-05,0.035815285533337,107,128,0.031776498187246746,0.054595862657283,1,True
(*)|(dist_rolling_7d_high<=0.22623098&loc_prev_week_range_pos_48<=0.44827583)|(volatility_ratio_short_long>0.39940566),169,5,returns_target,5,short,4406,0.10894075759074276,0.0019854830034310524,0.0018788741651884055,0.001961548286791486,0.001856224603007579,5.379506655905148,1.0,0.75,0.9100682425081594,0.9767362687244666,0.7630592562269276,,4.024392336727537e-05,0.005142303437620601,108,126,0.034271448025419884,0.046527462551066726,1,True
(*)|(dist_ema200_atr<=0.0011465433&dist_rolling_7d_high<=0.21739627&dist_rolling_7d_high>0.087410688)|(range_24h_pct>0.055633903),6,4,returns_target,5,short,5194,0.12842448818118882,0.001917777804626976,0.001829709389645943,0.0017492118487133393,0.001668884339128781,5.221064631308256,1.0,0.75,0.9808228661853426,0.9773777435502503,0.7612536317173302,,4.024392336727537e-05,0.020598813508996745,105,124,0.03561802079322295,0.04524451289949942,1,True
(*)|(dist_prior_day_low>0.027208544&loc_prior_bar_pos_24>-0.5909102)|(direction_entropy_20>-0.53852618&efficiency_ratio_20>0.19975404),102,8,returns_target,5,short,4556,0.11264958955592919,0.001979555682826189,0.0018765825407732243,0.002212435158336625,0.0020973480194302254,3.635302251871067,1.0,0.75,0.9308377015132034,0.9854038630377524,0.7585169653849426,,4.024392336727537e-05,0.007380062179446217,107,128,0.02502194907813872,0.029192273924495173,1,True
(*)|(dist_weekly_vwap>-0.069151573&zscore_price_200<=-0.15200856)|(range_24h_pct>0.058609694),20,3,returns_target,5,short,4298,0.10627039857580853,0.0019503413049938403,0.0018431325701107136,0.001607323307977126,0.0015189700038886736,4.430229165272489,1.0,0.75,0.8951142320245278,0.9797580269892974,0.7581118603875273,,4.024392336727537e-05,0.04691162110198413,102,117,0.04025127966496045,0.04048394602140531,1,True
(*)|(dist_rolling_7d_high<=0.23995221&dist_rolling_7d_high>0.017487757&loc_prev_week_range_pos_24<=0.32479745)|(choppiness_index_20<=0.77569497&compression_ratio>-0.65655404&true_range_percentile>-0.8553108),85,5,returns_target,5,short,4955,0.1225150825833251,0.0018253356849870575,0.0017376634618848934,0.0018103757021894372,0.0017234220181265437,5.207710030210563,1.0,1.0,0.9860844624666205,0.974167507568113,0.7557586033831954,,4.024392336727537e-05,0.014659608578909102,109,123,0.039354187689202826,0.051664984863773966,1,True
(*)|(distance_to_ema<=-0.37775344&loc_bb_channel_pos_24<=0.7565766&loc_prior_bar_pos_48>-0.53566265&loc_swing_range_pos_24<=0.51190478&zscore_price_200>-1.5406189)|(prior_range<=0.67206275),21,5,returns_target,5,short,4880,0.12066066660073188,0.0018168993049957713,0.0017283564538751197,0.001778828426667608,0.0016921408815083678,5.591704311383474,1.0,1.0,0.9756997329640984,0.9846311475409836,0.7544134068018018,,4.024392336727537e-05,0.015488945619727188,110,126,0.023155737704918033,0.030737704918032786,1,True
(*)|(dist_prior_day_low>0.0093167676&loc_prev_day_range_pos_24<=0.93103403&loc_vwap_dev_z_48<=-0.94987166)|(prior_volatility>-0.42077994&volume_autocorr_48>-1.1823826),118,5,returns_target,5,short,3010,0.07442389476807437,0.0030817270476952738,0.0028453982863689492,0.0030272323590664445,0.002795082638279141,5.95571236975201,1.0,1.0,0.41677381070121644,0.9697674418604652,0.7526538217968654,,4.024392336727537e-05,0.0228344232979207,108,123,0.029235880398671095,0.06046511627906977,1,True
(*)|(dist_weekly_vwap>-0.098474912&loc_range_pos_48<=0.5938105)|(choppiness_index_20<=-0.86683238),152,1,returns_target,5,short,3120,0.07714370487587775,0.0026725778786035686,0.0024743154247012264,0.0027410614812780785,0.0025377186414206544,5.852731349338182,1.0,1.0,0.4320047473049154,0.9754807692307692,0.7523847273901753,,4.024392336727537e-05,0.003207498170577862,109,124,0.03205128205128205,0.04903846153846154,1,True
(*)|(bars_in_high_vol_state_log_norm<=1.2585354&dist_weekly_vwap>-0.043798238)|(range_24h_pct>0.073803067),11,3,returns_target,5,short,4118,0.10181980021758481,0.00192625835834631,0.0018160100548695296,0.0019695577756849193,0.0018568312546406818,3.4815152869092993,1.0,0.75,0.8701908812184749,0.9730451675570665,0.7513843019018678,,4.024392336727537e-05,0.012107038837034073,104,126,0.053909664885866924,0.033997085964060224,1,True
(*)|(bars_in_high_vol_state_log_norm<=-0.58914006&zscore_price_200>-1.5961387)|(range_24h_pct>0.031500623),68,2,returns_target,5,short,4589,0.1134655325882702,0.0017859844840360016,0.001693714155247202,0.0017042665554197036,0.0016162180662990329,4.400511696748222,1.0,0.75,0.9354069824943132,0.9711266071039442,0.7501325414460339,,4.024392336727537e-05,0.05514003385117677,57,115,0.04881237742427544,0.05774678579211157,1,True
(*)|(dist_rolling_7d_high<=0.27165833)|(prior_volatility>0.2236346&variance_ratio_10_48>0.27721497),172,3,returns_target,5,short,4116,0.10177034912471565,0.001912236619157856,0.0018027407064713091,0.0024252918551354785,0.0022864180659041755,3.9634774063398113,1.0,0.75,0.8699139550984076,0.9702380952380952,0.7499166699636297,,4.024392336727537e-05,0.04815250029945805,108,125,0.03279883381924198,0.05952380952380952,1,True
(*)|(zscore_price_50>-0.65725887)|(direction_entropy_20>0.10194438&range_24h_pct>0.023976028&spectral_entropy_ret_24<=-0.037045974),76,5,returns_target,5,short,4649,0.11494906537434477,0.0018450038667442107,0.001750851801692965,0.0018499336822912801,0.001755530044697318,3.573860867459579,1.0,0.75,0.9437147660963305,0.9855882985588299,0.7496371119573374,,4.024392336727537e-05,0.002286419034158183,107,128,0.02624220262422026,0.02882340288234029,1,True
(*)|(dist_prior_day_high>0.028917478&dist_vwap_atr<=0.017896529&loc_prev_week_range_pos_48<=0.5393995&zscore_price_200>-1.8676395)|(volume_autocorr_48>0.26288939),51,5,returns_target,5,short,4860,0.12016615567204035,0.0016782333085566391,0.0015961279607798954,0.0017525589733624447,0.001666817340614771,4.031699996434096,1.0,1.0,0.972930471763426,0.9797325102880658,0.74959157592686,,4.024392336727537e-05,0.009622935214022573,106,127,0.03580246913580247,0.040534979423868314,1,True
(*)|(loc_vwap_dev_z_24<=-0.13675638)|(range_24h_pct>0.060417533&range_expansion_ratio<=0.13930494),111,1,returns_target,5,short,5121,0.12661952329146475,0.0014429144900284156,0.0013757522069326972,0.0015874687926639738,0.001513578046403316,3.530552096655082,1.0,1.0,0.9909306695677973,0.9842804139816442,0.747328630779626,,4.024392336727537e-05,0.023461809970917655,107,128,0.03143917203671158,0.0306580745948057,1,True
(*)|(dist_rolling_7d_high<=0.22729678&dist_weekly_vwap<=0.0072882459)|(prior_range<=-0.039447233&range_24h_pct>0.051106453),34,1,returns_target,5,short,4263,0.10540500445059836,0.0016966525473114807,0.0016026655903365484,0.0018276098684513237,0.001726368462044758,4.939893382208651,1.0,1.0,0.8902680249233508,0.9824067558057706,0.7464163322028765,,4.024392336727537e-05,0.02583220353503524,108,126,0.025099695050433968,0.03518648838845883,1,True
(*)|(loc_prev_week_range_pos_48>0.35155702)|(compression_ratio<=0.37816918&range_24h_pct>0.050542429&realized_volatility_24h>-0.30780941),0,4,returns_target,5,short,3442,0.0851053308278113,0.0025875376345874403,0.002412325172873773,0.0032210391147578063,0.003002929748915593,5.454516372197378,1.0,1.0,0.4765898526357432,0.9696397443346891,0.746382875942302,,4.024392336727537e-05,0.03871720056295458,100,113,0.06072051133062173,0.05374782103428239,1,True
(*)|(loc_prior_bar_pos_48>-0.60220045&loc_swing_range_pos_48<=0.4227486)|(prior_range<=0.031184144&range_24h_pct>0.040963694),31,8,returns_target,5,short,4230,0.10458906141825734,0.0016483881794814522,0.0015564022319657462,0.0014365954944417913,0.0013564283351537448,4.425957906531725,1.0,1.0,0.885698743942241,0.9835697399527187,0.7413964459686795,,4.024392336727537e-05,0.02618613135390653,108,127,0.03286052009456265,0.022458628841607566,1,True
(*)|(dist_rolling_7d_high<=0.27999735)|(choppiness_index_20<=-0.071665756&ema20_slope_5h<=0.80965757&range_24h_pct>0.032573208&range_expansion_ratio<=0.27422863),45,2,returns_target,5,short,5327,0.13171298585698743,0.0015933303620861376,0.0015219061930846073,0.0016190105645394436,0.0015464352299267735,4.6474014616152575,1.0,1.0,0.9624072792008704,0.9842312746386334,0.7412569385596736,,4.024392336727537e-05,0.008761862511274138,107,128,0.023840810963018585,0.03153745072273324,1,True
(*)|(dist_rolling_7d_high<=0.2942811&dist_rolling_7d_high>0.084148817&dist_weekly_vwap<=0.013888283)|(choppiness_index_20<=0.11705323&ema50_slope<=1.2171264&up_down_return_mass_ratio_tanh<=-0.45285538),103,3,returns_target,5,short,4082,0.10092968054594006,0.0021189001773514625,0.0019966183111608193,0.0020917751253115477,0.001971058647627363,5.426962755388286,1.0,0.75,0.8652062110572643,0.9781969622733954,0.7409985826007718,,4.024392336727537e-05,0.005533774492460075,107,123,0.025232729054385106,0.043606075453209214,1,True
(*)|(dist_local_swing>0.0090000331&dist_rolling_7d_high>0.031725403)|(rv_24h>0.48232445),192,6,returns_target,5,short,4228,0.1045396103253882,0.001769361568151382,0.0016705807749316755,0.001974137464221689,0.0018639243409399955,3.034400681541842,1.0,0.75,0.8854218178221738,0.9752838221381268,0.7409272186777486,,4.024392336727537e-05,0.014604416240202313,72,121,0.045175023651844844,0.04943235572374645,1,True
(*)|(dist_rolling_7d_high<=0.26168549&dist_weekly_vwap<=0.011606799&loc_prior_bar_pos_48>-0.49999976)|(choppiness_index_20<=-0.58836579),78,3,returns_target,5,short,3378,0.08352289585599841,0.002494637009093859,0.0023227353408817684,0.0026677505761749363,0.0024839199135388464,5.737257979522549,1.0,1.0,0.46772821679359106,0.9791296625222025,0.7402988111229084,,4.024392336727537e-05,0.010833667669138203,108,124,0.02960331557134399,0.041740674955595025,1,True
