symbol,rows,valid_ohlc_rows,spot_rows,funding_rows,oi_rows,mark_rows,zero_heavy_features_before,zero_heavy_features_after
1INCH_USD:USD,32745,32745,32745,6128,21682,14699,18,18
2Z_USD:USD,5382,5382,5382,5373,5382,5107,24,21
AAVE_USD:USD,34137,34137,34137,6172,24526,14863,32,32
ADA_USD:USD,35029,35029,35029,6576,71,6065,17,17
AEVO_USD:USD,17439,17439,17264,4259,24,2276,17,17
AIXBT_USD:USD,11602,11602,10858,3819,25,2132,16,16
AKT_USD:USD,13115,13115,13115,4305,13115,2304,13,13
ALCH_USD:USD,11437,11437,9519,4371,11437,2417,16,16
ALGO_USD:USD,33923,33923,33923,1351,25,746,18,18
ALICE_USD:USD,32073,32073,32073,2648,28069,1395,18,18
ALT_USD:USD,17292,17292,17265,26,25,10,24,22
ANIME_USD:USD,11526,11526,5074,26,25,10,26,24
ANKR_USD:USD,32231,32231,32231,2648,28070,1395,25,25
APE_USD:USD,34475,34475,34475,26,25,10,16,14
API3_USD:USD,20147,20147,20147,26,25,10,18,16
APT_USD:USD,31405,31405,31405,59,33,28,21,17
ARB_USD:USD,27683,27683,27683,59,33,28,16,14
ARC_USD:USD,11433,11433,9537,3337,11433,1936,15,15
ARKM_USD:USD,17622,17622,17265,3403,17620,2007,15,15
AR_USD:USD,17754,17754,9276,26,25,10,20,16
ASTER_USD:USD,5656,5656,5075,5634,5655,5163,14,14
ASTR_USD:USD,17940,17940,17940,3403,17940,2007,23,23
ATH_USD:USD,13225,13225,13225,3403,13225,2007,24,24
ATOM_USD:USD,35029,35029,35029,76,64,69,23,18
AUCTION_USD:USD,15395,15395,15395,59,33,28,21,16
AUD_USD:USD,8945,8945,8945,3345,7403,1921,63,59
AVAX_USD:USD,35029,35029,35029,76,64,69,28,22
AXS_USD:USD,33247,33247,33247,59,33,28,23,19
B3_USD:USD,10356,10356,10354,3233,10352,1865,25,25
BAND_USD:USD,32073,32073,32073,1704,64,934,18,18
BAT_USD:USD,33582,33582,33582,59,33,28,19,17
BCH_USD:USD,35029,35029,35029,76,64,69,32,26
BEAM_USD:USD,18275,18275,18275,59,33,28,24,22
BERA_USD:USD,11071,11071,11071,59,33,28,14,12
BICO_USD:USD,17957,17957,17957,59,33,28,25,23
